,Título Trabajo,Ubicación,Fecha Publicación,Link,Atributos del Trabajo,Descripción del Trabajo
62,"Become a Sperm Donor! Earn $1,500/mo by Helping to Create Families!",Cambridge boston/cambridge/brookline ,Mon 13 Dec 02:54:24 PM,https://boston.craigslist.org/gbs/etc/d/cambridge-become-sperm-donor-earn-1500/7420324299.html," compensation: Earn up to $1,500 per month  employment type: part-time  ","  QR Code Link to This Post    California Cryobank is looking for sperm donors of all ethnicities in Cambridge.     Why should you consider  applying? Earn up to $1,500 per month while helping others around the world start their family. Plus, these extra perks:   - Appointments on your schedule  - Get paid every two weeks  - Less than 5 hours per month required!  - Free ancestry report and genetic testing   We are taking all necessary precautions in safeguarding against COVID-19, including the testing of donors and employees.    Basic Requirements for California Cryobank Sperm Donors:    - Between 19 and 38 years old   - Now attending or have graduated from college  - Professional experience considered in lieu of college education  - Legally allowed to work in the US     APPLY NOW! Remember, qualified donors will earn $1,500 per month for their time.   See what former sperm donors say about their experience  here.  Learn more at:  spermbank.com     Founded in 1977, California Cryobank is a full-service sperm bank providing a comprehensive resource for frozen donor sperm, private semen cryopreservation, and specialized reproductive services (including egg and embryo storage). We are extremely proud of our 40+ years of reproductive success and have distinguished ourselves as a leader in the industry and #1 physician recommended sperm bank in the world. "
63,"💕💕💕Moms!! Earn Up to $60,000! Become A Surrogate Mother!💕",Encino boston/cambridge/brookline ,Mon 13 Dec 01:33:57 PM,https://boston.craigslist.org/gbs/etc/d/encino-moms-earn-up-to-become-surrogate/7420280444.html," compensation: 💕💕💕Moms!! Earn Up to $60,000! Become A Surrogate Mother!💕  employment type: contract  ","  QR Code Link to This Post       Be a part of an Extraordinary Journey.. and EARN UP TO $60,0000!    Do you qualify? YES, if:        You are a female between the ages of 21-43.      You have delivered one or more children.      Have had past pregnancies without complications.      You are a non-smoker, living in a non-smoking home.     You are a non-drug user.      You have a Body Mass Index (BMI) of 33 or less.      You have no history of arrests or substance abuse.  ""It has been an amazing rewarding experience and the staff and Dr. Kumar were so kind and helpful with every step of the process. Being a surrogate was not only rewarding, but the income allowed me to fulfill my dream of becoming a real estate agent. I am so thankful I decided to help grow families."" ~ Bethany (Western Fertility Institute Surrogate Mother)  Many couples and individuals are looking for a surrogate mother.START YOUR MATCH TODAY!      BENEFITS INCLUDE:       Generous base compensation for your time and efforts.   Additional financial benefits package.   Learn more about your own fertility.   D.I.S.H Support group meetings.   Mentorship from a surrogate mother in our program.                Once you fill out the application form, one of our coordinators will be in touch with more details.   Any inquiries and questions are welcome at info@westernfertility.com or Toll Free 1-888-261-4574.            Surrogate, Surrogacy, Surrogate mother, Surrogate program, Fertility Clinic, Egg Donation, Egg Donor, IVF, IUI, In Vitro Fertilization, Become a Surrogate, Pay well, Los Angeles, Services, Carry a pregnancy for someone else, Gestational Carrier, Gestational surrogacy, High Compensation, Become a Donor, Donor Program       "
64,Come Sleep With Us! Sleep Study at BWH Needs Volunteers,Boston boston/cambridge/brookline ,Mon 13 Dec 10:28:58 AM,https://boston.craigslist.org/gbs/etc/d/boston-come-sleep-with-us-sleep-study/7420175090.html," compensation: Receive up to $6,250  employment type: part-time  ","  QR Code Link to This Post   The Division of Sleep and Circadian Disorders at Brigham & Women’s Hospital is seeking healthy volunteers ages 20-40 to participate in a research study. You must be a non-smoker and not on any medications (other than birth control). You will complete 1 in-person and 3 remote screening visits and must keep a regular sleep schedule for 2 weeks. If eligible, you will live 33 consecutive days and nights in a private room in our clinical research center.   We want to learn more about how insufficient sleep night after night impacts metabolism, and how exposure to artificial light at night plays a role.   If you would like to be screened for participation, please follow the link below and fill out our pre-screening survey:  https://redcap.partners.org/redcap/surveys/?s=ECM4EEDWLT  Receive up to $6,250.   For more information, call 617-525-8838, e-mail us or visit https://rally.partners.org/study/alan.    "
65,Help Us Learn More About Circadian Rhythms! 5-day Research Study,Boston boston/cambridge/brookline ,Mon 13 Dec 10:24:42 AM,https://boston.craigslist.org/gbs/etc/d/boston-help-us-learn-more-about/7420173188.html," compensation: Receive up to $1,800  employment type: part-time  internship  non-profit organization  ","  QR Code Link to This Post   The Division of Sleep Medicine at Brigham & Women’s Hospital is seeking healthy volunteers ages 21-35 to participate in a sleep research study. You must be a non-smoker and not on any medications.  You will complete 4 screening visits and must keep a regular sleep schedule for 2 to 4 weeks. If eligible, you will live 5 consecutive days and nights at the sleep research laboratory within the hospital.  The purpose of this study is to see if the body’s internal ‘clock’ time can be estimated from a single blood sample.  Receive up to $1,800.   For more information, call 617-525-8813,  or visit https://rally.partners.org/study/bodyclockstudy "
66,Do you experience extreme sleepiness while working early morning shift,boston boston/cambridge/brookline ,Mon 13 Dec 09:45:26 AM,https://boston.craigslist.org/gbs/etc/d/boston-do-you-experience-extreme/7420154639.html, compensation: up to $4750  employment type: full-time  non-profit organization  telecommuting ok  ,"  QR Code Link to This Post   The Division of Sleep Medicine at Brigham & Women’s Hospital is seeking individuals who: • are 18 to 64 years old • start work between 3AM-6AM at least 3 days per week • are very sleepy during the daytime Individuals who meet these criteria may be eligible for a sleep research study. The purpose of this study is to see if a medication can help with excessive daytime sleepiness in early morning shift workers. This study will ask participants to make 6 study visits over the course of 6 weeks.  Receive up to $4750  For more information, call 617-525-8657 or email EDSresearchstudy@partners.org  Or fill out the following survey https://redcap.link/DAWNstudy "
67,Home Health Care Needed in Southie,South Boston boston/cambridge/brookline ,Sun 12 Dec 07:07:26 PM,https://boston.craigslist.org/gbs/etc/d/south-boston-home-health-care-needed-in/7420000849.html, compensation: $20+ per hour cash  employment type: part-time  ,"  QR Code Link to This Post   Disabled woman in South Boston is looking for part time home health care. No certifications or experience necessary - just a willingness to learn! I am in my 50s, married, and work full-time,   I have a spinal cord injury from an accident in high school, so I’m paralyzed from the chest down - but I’m otherwise very healthy. I and just need help getting out of bed in the morning and getting back in bed at night.  Job duties include all aspects of ADLs, such as bathing, dressing, grooming, and toileting. Some lifting required. Experience helpful but will train!  Shifts are part time, typically 2 to 3 hours per shift, early mornings (approximately 6 a.m. to 9 a.m.) and later evenings (approximately 8 p.m. to 10 p.m.), flexible days and times. All shifts are currently available, starting immediately - mornings, evenings, and weekends!  This is an ideal job for someone who lives in Southie - you can walk to work!  Great opportunity for a nursing student or a student in a similar field, such as PT, NP, pre-med, public health, biology, etc. Also open to PCAs, CNAs, HHAs, other healthcare workers, nannies, moms, and others.  Excellent cash pay, pleasant environment, great opportunity for a student nurse!  In order to be considered for the job, please respond with the following info:  Your name Your age Your location (where you live)  Your mode of transportation  And tell me about yourself!  Thanks - I look forward to hearing from you!    "
68,Adult Companion/Shared Live In Provider,"Lexington, MA metro west ",Fri 10 Dec 04:31:56 PM,https://boston.craigslist.org/bmw/etc/d/lexington-adult-companion-shared-live/7419149725.html, compensation: Geerous pay and free rent according to qualifications.  employment type: full-time  non-profit organization  ,"  QR Code Link to This Post   Adult Companion/Live in Support  Are you kind, active, helpful, fun, organized?   Could you be the wonderful Adult Companion our daughter wants to live with her?   She has Down Syndrome, wants a room mate who will help her continue to live independently by supporting her with menu planning and meal preparation, a challenge since she has celiac, is lactose intolerant, and needs healthy, smaller bite foods.  She would appreciate help with things like her hair or clothing. What she needs is a person who listens, and respects that a 48 year old woman has her own opinions and the right to make her own choices.  She wants someone to exercise with her, and the complex has a work out room and pool.  The Y is nearby. She wants someone to talk to, someone to watch TV with, go out with ...but who also respects that she has her own life, works 3 days a week from home, two days a week at TJMaxx, other activities and friends.  She needs transportation, since she no longer drives, but has public transportation options available as well.  This is a live in position funded by DDS.  You have your own BR and bath, rent free is part of the compensation.  If this sounds like it could be you, please contact us for further information.  It's a great job for the right person who has some flexibility, a good sense of humor, and wants to make a real difference in someone's life.    "
69,Mail Room Assistant,boston: boston/cambridge/brookline boston/cambridge/brookline ,Fri 10 Dec 02:40:04 PM,https://boston.craigslist.org/gbs/etc/d/boston-mail-room-assistant/7419092850.html, compensation: Up to $18 per hour  employment type: contract  ,"  QR Code Link to This Post   Our client is seeking several Mail Room Assistants to help move packages from the receiving area to mail centers and the holding containers. The duration of this role is from January 10th to February 11th. Candidates must be able to lift/move heavy boxes and packages! This is perfect for someone who is looking for extra work after the holidays!Pay is $18 / hour.Beacon Hill is an Equal Opportunity Employer that values the strength diversity brings to the workplace. Individuals with Disabilities and Protected Veterans are encouraged to apply.Company Profile:Founded by industry leaders to set a new standard in search, career placement and flexible staffing, we deliver coordinated staffing solutions with unparalleled service, a commitment to project completion and success and a passion for innovation, creativity and continuous improvement.Our niche brands offer a complete suite of staffing services to emerging growth companies and the Fortune 500 across market sectors, career specialties/disciplines and industries.  Over time, office locations, specialty practice areas and service offerings will be added to address ever changing constituent needs.Learn more about Beacon Hill Staffing Group and our specialty divisions, Beacon Hill Associates, Beacon Hill Financial, Beacon Hill HR, Beacon Hill Legal, Beacon Hill Life Sciences and Beacon Hill Technologies by visiting www.beaconhillstaffing.com.We look forward to working with you.Beacon Hill. Employing the Future (TM) "
70,DOGGIE DRIVER / KENNEL WORKER,metro west metro west ,Fri 10 Dec 02:36:17 PM,https://boston.craigslist.org/bmw/etc/d/west-newton-doggie-driver-kennel-worker/7419090755.html," compensation: $700 weekly, with a monthly bonus for great work  employment type: full-time  ","  QR Code Link to This Post   In a hurry to hire a good person.  Need a dog lover, with a sense of humor.  Also  you need a lot of integrity, you need to be a dependable, on time kind of person. Can be a full time, Mon - Fri job or right now even a temporary 2 month job.  Good pay, nice people to work with.  Great dogs. We have an indoor and an outdoor play area....which you have to help keep clean. You drive one of my vans....we even pay for the gas....so you need a legal parking spot. If you have an interest, please respond quickly.    "
71,Advances in Fibromyalgia research could start with you.,Roslindale boston/cambridge/brookline ,Fri 10 Dec 12:01:20 PM,https://boston.craigslist.org/gbs/etc/d/roslindale-advances-in-fibromyalgia/7419001541.html, compensation: Up to $350  employment type: part-time  ,"  QR Code Link to This Post   Fibromyalgia medications not relieving your pain? You may qualify for clinical trials that are testing study medications not available through your regular doctor.   Research studies are an important part of developing potential future treatment options. Without them, progress in medicine would not be possible. Right now, doctors are looking for people with Fibromyalgia to volunteer for local research studies.  Get Started Now SEE IF YOU QUALIFY  OR CALL 1-833-304-8807   For more information, visit www.Studiesforfibro.com    Those who qualify may receive*:  •	Payment that varies by study up to $350 •	No-cost study-related care from local doctors •	No-cost study medication   Plus, no health insurance is needed!   About Acurian:   Acurian is a company that recruits people for clinical research studies. We are currently working with pharmaceutical companies to find individuals who are willing to participate in clinical research studies in your area.   * In a research study, the participants may receive investigational study product or may receive an inactive substance, or placebo, depending on the study design. Participants receive study-related care from a doctor/research team for the duration of the study. For studies that offer compensation, reasonable payments will be made for participation. The length of the study may vary.     "
72,Market Research Call Center Representative,"Waltham, Ma metro west ",Fri 10 Dec 08:57:57 AM,https://boston.craigslist.org/bmw/etc/d/waltham-market-research-call-center/7418911625.html, compensation: TBD based on experience  employment type: part-time  ,"  QR Code Link to This Post   Phone Room Representative at our Waltham, Ma location.   A major market research facility is looking to hire call center representatives to work in our phone room. You would be contacting people by phone and asking them a series of questions to see if they qualify for paid market research studies. We are not in the business of selling anything and this is not a cold calling position - the people that you would be calling want to be contacted. This is not a job you can do from your residence.   This position is based in our call center/phone room and we are looking for potential team members who are comfortable being on the phone, are outgoing, can multi-task, who work well in a team setting and who enjoy being on the phone. Phone and/or call center experience is a plus!  This position is a part time position with flexible schedules between 9am - 3pm, Monday - Friday. 20- 28 hours a week.   If you are interested in applying for this position, please email your resume to ChristineL@boston.fieldwork.com as well as why you feel you would be a good fit for this position.   We look forward to hearing from you! "
73,Do you experience extreme sleepiness while working early morning shift,boston north shore ,Fri 10 Dec 08:56:53 AM,https://boston.craigslist.org/nos/etc/d/boston-do-you-experience-extreme/7418911255.html, compensation: up to $4750  employment type: full-time  non-profit organization  ,"  QR Code Link to This Post   The Division of Sleep Medicine at Brigham & Women’s Hospital is seeking individuals who: • are 18 to 64 years old • start work between 3AM-6AM at least 3 days per week • are very sleepy during the daytime Individuals who meet these criteria may be eligible for a sleep research study. The purpose of this study is to see if a medication can help with excessive daytime sleepiness in early morning shift workers. This study will ask participants to make 6 study visits over the course of 6 weeks.  Receive up to $4750  For more information, call 617-525-8657 or email EDSresearchstudy@partners.org  Or fill out the following survey https://redcap.link/DAWNstudy "
74,✭Deliver with DoorDash✭, boston/cambridge/brookline ,Thu 09 Dec 07:24:27 PM,https://boston.craigslist.org/gbs/etc/d/malden-deliver-with-doordash/7418768561.html, compensation: default  employment type: part-time  ,"  QR Code Link to This Post   No passengers. No bosses. Just you, your tunes, and the road. Sign up now and start making money!DOORDASH PERKS INCLUDE:Highly Flexible. Be your own boss. Work when you want, wherever you want.Earn 100% of your tips.Qualify for Fast Pay and get paid daily.Be a part of an exciting and rapidly growing community across over 1,000 cities in the U.S.REQUIREMENTS:✓ Any Car, Bicycle, or Scooter✓ iPhone or Android smartphone✓ Valid Driver's License and insurance (only applicable to cars)✓ 18+ years of ageABOUT US:DoorDash is a technology company that connects customers with local businesses. Customers order meals and other items from their favorite local merchants and Dashers deliver it directly to their doors. Dashers are third party contractors who deliver for merchants to customers. Dashing is designed to be extremely flexible. Deliver part-time or full-time -- it's up to you! You get to set your own schedule and deliver wherever you want.  *Dashers are paid per delivery. Earnings vary based on pay per delivery and number of deliveries completed per hour.Driving with DoorDash is perfect for a those looking for seasonal work, temporary work, part time work, part-time work, or for those looking for a flexible full time opportunity. Hours are completely flexible. You can create your own schedule. No previous experience as a transportation driver, truck driver, taxi driver, courier driver or delivery driver is necessary. We welcome those who have driven with other gig economy platforms such as Seamless, Grubhub, Eat24, Munchery, Saucey, Drizly, Google Express, AmazonFresh, Lyft, Favor, Caviar, Uber, UberX, Side car, Sprig, Instacart, Rinse, Shyp, Washio, Luxe, Zirx, Post mates, Farm Hill, Rinse, Deliv, Amazon Prime, and Ease. Our driving partners come from all backgrounds and industries ranging from traditional driving and transportation industries to more customer service and creative industries. If you are an account manager, accountant, accounting, actor, actress, admin, administrative, administrative, artist, assistant, barista, bus boy, busboy, busboy, busser, cabbie, cab driver, cab-driver, chauffeur, professional cleaner, cleaners, clerical, coffee, college student, construction, contractor, contract worker, courier, customer service, customer service agent, cyclist, data entry, data-entry, delivery driver, designer, drivers, education, entry level, entry-level, expo, finance, food runner, food-runner, foodrunner, freelancer, freelance worker, full time, full-time, gig economy user, health care, healthcare, host, hostess, hosts, human resources, human-resources, independent contractor, intern, interns, IT, limo driver, maid, maintenance, management, manager, manufacturing, marketing, messenger, musician, network marketing, nurse, office, on-demand driver, part time, part-time, private hire driver, receptionist, receptionists, restaurant, retail, retail associate, sales, sales person, salesperson, seasonal worker, server, servers, summer job seeker, teacher, teachers, temp, valet, valets, waiter, waiters, waitresses, warehouse, writer, worker, who is looking for a flexible part time or seasonal job, you should try delivering with DoorDash to supplement your income! "
75,✭Deliver with DoorDash✭, boston/cambridge/brookline ,Thu 09 Dec 03:22:40 PM,https://boston.craigslist.org/gbs/etc/d/malden-deliver-with-doordash/7418658947.html, compensation: default  employment type: part-time  ,"  QR Code Link to This Post   No passengers. No bosses. Just you, your tunes, and the road. Sign up now and start making money!DOORDASH PERKS INCLUDE:Highly Flexible. Be your own boss. Work when you want, wherever you want.Earn 100% of your tips.Qualify for Fast Pay and get paid daily.Be a part of an exciting and rapidly growing community across over 1,000 cities in the U.S.REQUIREMENTS:✓ Any Car, Bicycle, or Scooter✓ iPhone or Android smartphone✓ Valid Driver's License and insurance (only applicable to cars)✓ 18+ years of ageABOUT US:DoorDash is a technology company that connects customers with local businesses. Customers order meals and other items from their favorite local merchants and Dashers deliver it directly to their doors. Dashers are third party contractors who deliver for merchants to customers. Dashing is designed to be extremely flexible. Deliver part-time or full-time -- it's up to you! You get to set your own schedule and deliver wherever you want.  *Dashers are paid per delivery. Earnings vary based on pay per delivery and number of deliveries completed per hour.Driving with DoorDash is perfect for a those looking for seasonal work, temporary work, part time work, part-time work, or for those looking for a flexible full time opportunity. Hours are completely flexible. You can create your own schedule. No previous experience as a transportation driver, truck driver, taxi driver, courier driver or delivery driver is necessary. We welcome those who have driven with other gig economy platforms such as Seamless, Grubhub, Eat24, Munchery, Saucey, Drizly, Google Express, AmazonFresh, Lyft, Favor, Caviar, Uber, UberX, Side car, Sprig, Instacart, Rinse, Shyp, Washio, Luxe, Zirx, Post mates, Farm Hill, Rinse, Deliv, Amazon Prime, and Ease. Our driving partners come from all backgrounds and industries ranging from traditional driving and transportation industries to more customer service and creative industries. If you are an account manager, accountant, accounting, actor, actress, admin, administrative, administrative, artist, assistant, barista, bus boy, busboy, busboy, busser, cabbie, cab driver, cab-driver, chauffeur, professional cleaner, cleaners, clerical, coffee, college student, construction, contractor, contract worker, courier, customer service, customer service agent, cyclist, data entry, data-entry, delivery driver, designer, drivers, education, entry level, entry-level, expo, finance, food runner, food-runner, foodrunner, freelancer, freelance worker, full time, full-time, gig economy user, health care, healthcare, host, hostess, hosts, human resources, human-resources, independent contractor, intern, interns, IT, limo driver, maid, maintenance, management, manager, manufacturing, marketing, messenger, musician, network marketing, nurse, office, on-demand driver, part time, part-time, private hire driver, receptionist, receptionists, restaurant, retail, retail associate, sales, sales person, salesperson, seasonal worker, server, servers, summer job seeker, teacher, teachers, temp, valet, valets, waiter, waiters, waitresses, warehouse, writer, worker, who is looking for a flexible part time or seasonal job, you should try delivering with DoorDash to supplement your income! "
76,✭Deliver with DoorDash✭, boston/cambridge/brookline ,Thu 09 Dec 03:21:37 PM,https://boston.craigslist.org/gbs/etc/d/malden-deliver-with-doordash/7418658911.html, compensation: default  employment type: part-time  ,"  QR Code Link to This Post   No passengers. No bosses. Just you, your tunes, and the road. Sign up now and start making money!DOORDASH PERKS INCLUDE:Highly Flexible. Be your own boss. Work when you want, wherever you want.Earn 100% of your tips.Qualify for Fast Pay and get paid daily.Be a part of an exciting and rapidly growing community across over 1,000 cities in the U.S.REQUIREMENTS:✓ Any Car, Bicycle, or Scooter✓ iPhone or Android smartphone✓ Valid Driver's License and insurance (only applicable to cars)✓ 18+ years of ageABOUT US:DoorDash is a technology company that connects customers with local businesses. Customers order meals and other items from their favorite local merchants and Dashers deliver it directly to their doors. Dashers are third party contractors who deliver for merchants to customers. Dashing is designed to be extremely flexible. Deliver part-time or full-time -- it's up to you! You get to set your own schedule and deliver wherever you want.  *Dashers are paid per delivery. Earnings vary based on pay per delivery and number of deliveries completed per hour.Driving with DoorDash is perfect for a those looking for seasonal work, temporary work, part time work, part-time work, or for those looking for a flexible full time opportunity. Hours are completely flexible. You can create your own schedule. No previous experience as a transportation driver, truck driver, taxi driver, courier driver or delivery driver is necessary. We welcome those who have driven with other gig economy platforms such as Seamless, Grubhub, Eat24, Munchery, Saucey, Drizly, Google Express, AmazonFresh, Lyft, Favor, Caviar, Uber, UberX, Side car, Sprig, Instacart, Rinse, Shyp, Washio, Luxe, Zirx, Post mates, Farm Hill, Rinse, Deliv, Amazon Prime, and Ease. Our driving partners come from all backgrounds and industries ranging from traditional driving and transportation industries to more customer service and creative industries. If you are an account manager, accountant, accounting, actor, actress, admin, administrative, administrative, artist, assistant, barista, bus boy, busboy, busboy, busser, cabbie, cab driver, cab-driver, chauffeur, professional cleaner, cleaners, clerical, coffee, college student, construction, contractor, contract worker, courier, customer service, customer service agent, cyclist, data entry, data-entry, delivery driver, designer, drivers, education, entry level, entry-level, expo, finance, food runner, food-runner, foodrunner, freelancer, freelance worker, full time, full-time, gig economy user, health care, healthcare, host, hostess, hosts, human resources, human-resources, independent contractor, intern, interns, IT, limo driver, maid, maintenance, management, manager, manufacturing, marketing, messenger, musician, network marketing, nurse, office, on-demand driver, part time, part-time, private hire driver, receptionist, receptionists, restaurant, retail, retail associate, sales, sales person, salesperson, seasonal worker, server, servers, summer job seeker, teacher, teachers, temp, valet, valets, waiter, waiters, waitresses, warehouse, writer, worker, who is looking for a flexible part time or seasonal job, you should try delivering with DoorDash to supplement your income! "
77,Assembler Position Hiring,"Haverhill, MA boston/cambridge/brookline ",Thu 09 Dec 01:30:08 PM,https://boston.craigslist.org/gbs/etc/d/haverhill-assembler-position-hiring/7418608457.html, compensation: $17 an hour  employment type: full-time  ,"  QR Code Link to This Post    Baril Corporation is looking for assemblers! Located in Haverhill with a starting pay of $17 an hour, this position offers plenty overtime opportunities with a $100 sing-on bonus after your first week. Here’s a preview of what you’ll be working on as an Assembly Line Worker:  Working in a manufacturing environment, you’ll be making the magic happen by working as part of a team to achieve daily goals Assemble medical device kits and products Ensure all products are of proper quality and standards Follow clean room policies Package and prepare medical devices for shipment  INTERESTED? Here’s what it takes to apply:  1-2 years of related experience Ability to lift up to 20 lbs Flexibility to work overtime as needed    "
78,Dog Walkers Wanted - Earn $16-$22 per hour!,Roslindale boston/cambridge/brookline ,Thu 09 Dec 01:27:57 PM,https://boston.craigslist.org/gbs/etc/d/roslindale-dog-walkers-wanted-earn-per/7418607303.html, compensation: Pay is per walk. Walkers will earn an average of $16-$22 per hour.  employment type: employee's choice  ,"  QR Code Link to This Post   Join our growing team at Uncle Phil’s Pet Care! A local neighborhood pet services company offering dog walking and pet sitting since 2014.   We are seeking dog walkers for part-time, full-time, or weekend hours in the Roslindale/West Roxbury/Jamaica Plain area.   Do you?  -love animals and want to earn extra money while giving them the best possible care? -have the ability to be outdoors and walk in all kinds of weather? -have reliable transportation, preferably your own car? -have a Smartphone with texting capabilities to use our online scheduling program? -have the ability to commit to a schedule once you’ve accepted an assignment?  -have the ability to pass a background check?   This is a 1099 independent contractor position that pays per walk with the opportunity to earn an average of $16-20 per hour. Pet sitting assignment rates vary.   Experience is preferred but we could be willing to train the right person!  Please respond with a resume letting us know if you’re interesting in dog walking or pet sitting opportunities, full or part-time hours, and what experience you’ve had working with or caring for animals.   We look forward to hearing from you! "
79,✭Deliver with DoorDash✭, boston/cambridge/brookline ,Thu 09 Dec 01:25:22 PM,https://boston.craigslist.org/gbs/etc/d/malden-deliver-with-doordash/7418592822.html, compensation: default  employment type: part-time  ,"  QR Code Link to This Post   No passengers. No bosses. Just you, your tunes, and the road. Sign up now and start making money!DOORDASH PERKS INCLUDE:Highly Flexible. Be your own boss. Work when you want, wherever you want.Earn 100% of your tips.Qualify for Fast Pay and get paid daily.Be a part of an exciting and rapidly growing community across over 1,000 cities in the U.S.REQUIREMENTS:✓ Any Car, Bicycle, or Scooter✓ iPhone or Android smartphone✓ Valid Driver's License and insurance (only applicable to cars)✓ 18+ years of ageABOUT US:DoorDash is a technology company that connects customers with local businesses. Customers order meals and other items from their favorite local merchants and Dashers deliver it directly to their doors. Dashers are third party contractors who deliver for merchants to customers. Dashing is designed to be extremely flexible. Deliver part-time or full-time -- it's up to you! You get to set your own schedule and deliver wherever you want.  *Dashers are paid per delivery. Earnings vary based on pay per delivery and number of deliveries completed per hour.Driving with DoorDash is perfect for a those looking for seasonal work, temporary work, part time work, part-time work, or for those looking for a flexible full time opportunity. Hours are completely flexible. You can create your own schedule. No previous experience as a transportation driver, truck driver, taxi driver, courier driver or delivery driver is necessary. We welcome those who have driven with other gig economy platforms such as Seamless, Grubhub, Eat24, Munchery, Saucey, Drizly, Google Express, AmazonFresh, Lyft, Favor, Caviar, Uber, UberX, Side car, Sprig, Instacart, Rinse, Shyp, Washio, Luxe, Zirx, Post mates, Farm Hill, Rinse, Deliv, Amazon Prime, and Ease. Our driving partners come from all backgrounds and industries ranging from traditional driving and transportation industries to more customer service and creative industries. If you are an account manager, accountant, accounting, actor, actress, admin, administrative, administrative, artist, assistant, barista, bus boy, busboy, busboy, busser, cabbie, cab driver, cab-driver, chauffeur, professional cleaner, cleaners, clerical, coffee, college student, construction, contractor, contract worker, courier, customer service, customer service agent, cyclist, data entry, data-entry, delivery driver, designer, drivers, education, entry level, entry-level, expo, finance, food runner, food-runner, foodrunner, freelancer, freelance worker, full time, full-time, gig economy user, health care, healthcare, host, hostess, hosts, human resources, human-resources, independent contractor, intern, interns, IT, limo driver, maid, maintenance, management, manager, manufacturing, marketing, messenger, musician, network marketing, nurse, office, on-demand driver, part time, part-time, private hire driver, receptionist, receptionists, restaurant, retail, retail associate, sales, sales person, salesperson, seasonal worker, server, servers, summer job seeker, teacher, teachers, temp, valet, valets, waiter, waiters, waitresses, warehouse, writer, worker, who is looking for a flexible part time or seasonal job, you should try delivering with DoorDash to supplement your income! "
80,✭Deliver with DoorDash✭, boston/cambridge/brookline ,Thu 09 Dec 01:23:15 PM,https://boston.craigslist.org/gbs/etc/d/malden-deliver-with-doordash/7418592751.html, compensation: default  employment type: part-time  ,"  QR Code Link to This Post   No passengers. No bosses. Just you, your tunes, and the road. Sign up now and start making money!DOORDASH PERKS INCLUDE:Highly Flexible. Be your own boss. Work when you want, wherever you want.Earn 100% of your tips.Qualify for Fast Pay and get paid daily.Be a part of an exciting and rapidly growing community across over 1,000 cities in the U.S.REQUIREMENTS:✓ Any Car, Bicycle, or Scooter✓ iPhone or Android smartphone✓ Valid Driver's License and insurance (only applicable to cars)✓ 18+ years of ageABOUT US:DoorDash is a technology company that connects customers with local businesses. Customers order meals and other items from their favorite local merchants and Dashers deliver it directly to their doors. Dashers are third party contractors who deliver for merchants to customers. Dashing is designed to be extremely flexible. Deliver part-time or full-time -- it's up to you! You get to set your own schedule and deliver wherever you want.  *Dashers are paid per delivery. Earnings vary based on pay per delivery and number of deliveries completed per hour.Driving with DoorDash is perfect for a those looking for seasonal work, temporary work, part time work, part-time work, or for those looking for a flexible full time opportunity. Hours are completely flexible. You can create your own schedule. No previous experience as a transportation driver, truck driver, taxi driver, courier driver or delivery driver is necessary. We welcome those who have driven with other gig economy platforms such as Seamless, Grubhub, Eat24, Munchery, Saucey, Drizly, Google Express, AmazonFresh, Lyft, Favor, Caviar, Uber, UberX, Side car, Sprig, Instacart, Rinse, Shyp, Washio, Luxe, Zirx, Post mates, Farm Hill, Rinse, Deliv, Amazon Prime, and Ease. Our driving partners come from all backgrounds and industries ranging from traditional driving and transportation industries to more customer service and creative industries. If you are an account manager, accountant, accounting, actor, actress, admin, administrative, administrative, artist, assistant, barista, bus boy, busboy, busboy, busser, cabbie, cab driver, cab-driver, chauffeur, professional cleaner, cleaners, clerical, coffee, college student, construction, contractor, contract worker, courier, customer service, customer service agent, cyclist, data entry, data-entry, delivery driver, designer, drivers, education, entry level, entry-level, expo, finance, food runner, food-runner, foodrunner, freelancer, freelance worker, full time, full-time, gig economy user, health care, healthcare, host, hostess, hosts, human resources, human-resources, independent contractor, intern, interns, IT, limo driver, maid, maintenance, management, manager, manufacturing, marketing, messenger, musician, network marketing, nurse, office, on-demand driver, part time, part-time, private hire driver, receptionist, receptionists, restaurant, retail, retail associate, sales, sales person, salesperson, seasonal worker, server, servers, summer job seeker, teacher, teachers, temp, valet, valets, waiter, waiters, waitresses, warehouse, writer, worker, who is looking for a flexible part time or seasonal job, you should try delivering with DoorDash to supplement your income! "
